comment_text,target
"Ödəniş zamanı fırıldaqçılıq Sürücüləriviz adamı beyinsiz yerinə qoyurlar. Yazılan qiyməti çıxmırlar, qayıdıb söz də deməyə utanırsan. Bu vaxta qədər görmədimki 2.40 yazılan zaman elə 2.40 çıxsınlar. Əgər elə niyyətiviz varsa day 3.00 yazın biləy dəə işimizi. Söbət puldan gedmir, insanları barmağıvıza dolamağdan gedir. Saolun",1
"Müştərilər üçün Bakıda bir çox taksi xidməti mövcuddur, lakin BOLT Taksi kimisi yoxdu. Avtomobillər yeni, təmizlik və gigiyena qaydalarına riayət edirlər, getdiyiniz ünvana qədər olan məsafə km hesablaması ucuz , getdiyimiz ünvana tıxaca düşmədən çatırıq rahatçılıqla.  Bir söznən əla BOLT Taksi 😎👍🏻👍🏻",0
Ela Qeseng,0
Eladi Eladi superdi,0
"Very bad service When i used this application as Taxify I experienced many problems such as misconduct of driver ,charges for unused rides .When i wrote they did not give it back.A week ago i downloaded again Bolt version. But today i experienced problem again.The driver talked impolitely.And i was charged for the unused ride.",1
"Great app Really great app, easy to use, would be very glad if you add pickup time functionality",0
"Что с вами? Ужасная служба поддержки! Абсолютно некомпетентные девочки.
 То списывают за одну поездку с двух карт, то водители едут по маршруту «экскурсия по городу» , то не завершают поездки своевременно. После смены названия служба совершенно испортилась.",0
"Счёт после поездки вырос на 1 манат! Счёт после поездки вырос на 1 манат! Это что, развод такой???? При заказе показывал 2.43, после поездки 3.43!!! Очень разочарован!!! Не рекомендую!",1
👍 👍👍👍,0
Гавно Таксифай просто гавно. Не рекомендую!!!! Полный отстой,1
"Немного о сервисе Вообще очень удобно запускать сервис и зарабатывать. А когда ваши водители занимаются мошенничеством, у вас даже нет нигде номера диспетчера. Конечно, вам это не нужно. Достаточно написать вам и вы ответите через пару дней, что-то вроде: «мы провели беседу с водителем бла бла бла». Уже в третий раз снимают деньги с карты, за не состоявшиеся поездки! Полный беспредел! Пора менять вас на другой сервис.",1
Worst taxi service! I had a problem after ordered a taxi.. I wrote to the Taxify for solve the problem but  they didnt respond to me anything.. They are just thinking about gaining money thats all..,1
Pisdi Elaqe nomreniz yoxdur wikayyeti bildirmek ucun,1
Xidmət barədə Proqram rahat və əlverişlidi. Lakin axır vaxtlar sürücülər kartla ödəniş etdiyimə görə sifarişi ləğv edirlər. O səbəbdən Uber'i də yükləməli olmuşam. Bu barədə tədbir görməyinizi xahiş edirəm. Sifarişin qəbul edilməyinə xeyli vaxt gözləyirik. Ümid edirəm nəzərə alınacaq.,0
Beyendik Beyendim,0
👎🏼👎🏼👎🏼👎🏼👎🏼 suruculer artiq pul almaqcun dava eliyirler 4.46 oldu qiymet 40 deqiqedi seni probkalara dozub qetirirem deyib santajla 7 mamat aldi,1
"👍👍👍👍 Самая лучшая такси обслуживание!!! Единственный минус это нельзя вписывать два адресата сразу, а так все супер!",0
👍🏻👍🏻 👍🏻👍🏻👍🏻👍🏻,0
"Taxify Salam,xidmetinizde dolandiriciligla meshgul olan 90XM707 nomreli avtomobil fealiyyet gosterir bu sexs 5.92 yol pulu oldugu halda 12manat teleb etdi menden",1
"Kartla ödənişdən narazıyam Kartla ödənişdən narazıyam! Gedişə əlavə olaraq vergi də çıxılır. Bundan əlavə, gediş başlamazdan əvvəl məbləğ+cergi çıxııdı kartımdan. Gediş bitfikdən sonra yeni qiymət+vergi çıxıldı. Ardıyca köhnə çıxılan gediş məbləği karta geri ordu, amma çıxılan vergisi oturmadı.",1
Taxify Очень хороший сервис.,0
"Terbiyesiz ve seviyyesiz suruculer Demeli taxify-in suruculer o qeder terbiyesizdi ki, tanimadigi insanlarla senle danisirlar hamisi. 

Sonra da gelmeden evvel qebul edir sifarisi sonra da zeng edib sorusur ki kartla odeyirsense gelmirem. Sonra da legv edir senin sifarisini. 

99 RF 236 nomreli taksi lap cindirdi",1
Super xidmet Vaxti vaxtinda gelir taksii,0
🚕 Çox əla,0
"Fariz 90 KL 697 bu kimi  suruculeriniz cezalandirilmalidir! Fariz 90 KL 697  xahis edirik bu surucu ile olcu goturulsun! Yazilib ki, 13 deqiqeye olacaq surucu gozleyirik , 2-3 deq. qalmis yigiriq ki, ne vaxta catarsiz. Deyir gele bilmeyecem. Hele bunlara artiq pul da verilir her defe. Nezere alin!",1
Driver He is perfect man. He loves his job. And so respectfull,0
Good Timing good fast pick up,0
"Card Adding problem This problem started few days ago I cant add my Bank Card it says that scan your card but the camera doesnt open 
PS. I have gaven the permission for camera but it still not working. 
Please fix this problem 
For overall I like this problem very cheap and good Quality, fast arrives and drives.",0
"Неудобно! Невозможно написать комментарий к заказу, связаться с оператором чтобы уточнить детали поездки, сменить адрес по необходимости.",1
"Perfect Ela tətbiqdi kartnan ödənişlər daha sərfəlidi,yaxşı olarkı gələcəkdə təmir gedən yollar barəsində sürücülərə xəritədə məlumat əks olunsa dahada yaxşı olar.",0
Super👍🏼👍🏼👍🏼👍🏼 Mən Gəncədə yaşayıram və burda istifadə edirəm Superdi!! Ən ucuz və keyfiyyətli taksi xidməti,0
A Perfect,0
her gun 2-3 sefe  istifade edirem Cox super Taxi xidmetidi,0
"thanks in city evrythink is good ,in far city mostly driver is bad,so i love taxify",0
♥️ Amazing,0
"ТаксиФай Спасибо за оперативность , за экономию время",0
Ezizim Orxan Gozel seyahet ve gozel sohbet ucun sene teshekkur edirem. Xususile Taxfy shirketi bele mehriban ve gozel emekdashlr cekb etdiyi ucun minnetdaram. Cox sag olun.,0
Berbad Qeyri pesekar ve kobud suruculeri olan sirket!heckime meslehet gormurem,1
Razın qaldıq Eladı bu servıs,0
"Ужасное такси!!!! Ужасное такси!!!!! Во время не приезжают. жду по 10 минут ,потом делают отмену заказа!!! конченная система! ничего нормального не смогли мделать!Убер в 10000 раз лучше. Тупые очень все в этой системе",1
👍🏻👍🏻👍🏻 Vse super spasibo za otlicniy app ♥️👍🏻,0
Rufat Mənim düşüncəmə görə Bakıda 1 nömrədi! Əhsən,0
Taxify Блогодорю вам,0
Ela Vaxdında gelir eladır,0
"!!! ag seherden hezi aslanova odenisi 3,5 gosterib catanda 7 Azn alan xidmetdi axirinci defe istifade edirem artiq hec kime de tovsiyye etmirem",1
Salam Cox sagolun gozel xidmete gore,0
"Əlavə pul Salam, Taxify həm bank kartımdan pul çıxıb, həm sürücü məndən nağd pul aldı. Şikayət bildirməyə isə bir qaynar xətt filan, əlaqə nömrəsi yoxdur",1
Eladi Gedisi atmenit edenleri cermelesek yaxsi olar,0
Stupidity Absolute stupidity of drivers!!!!! No supervision of those who have been hired.,1
I liked it maaan👌🏼👌🏼👌🏼 This app is freaking awesome guys,0
Классный сервис! Так держать!,0
"Prekrasno oochen udobna, cherez 3 minuti uje taxi jdet menya😍👍😊",0
Super Vaxtında ve zamanında sifariş eden kimi hazırdır,0
Meslehet gormurem Bacardiqiniz qeder UBER istifade edin ve ya diger ozune hormet eden taxi sirketlerinden. Her yoldan kecen atasini anasini tanimiyan taksi  soferleri var taksilerinin arasinda! ona gore daha keyfiyyetli xidmetlerden istifade edin,1
10 manatliq pulsuz gediş “6CFP4” kodunu daxil et ve 10manat pulsuz gediş elde edin. En serfeli ve ugurlu xidmet.,0
Her gun istifade edirem Cox gozel asan ve qiymetlerde ucuz hemde axsamlar endirim olur dahada ucuz olur cox gozeldi max masini gozleyerem 3 deqe tez gelir esas ustun cehetide budu ve xeriteside qesey haranisa tapmaqda rahat asan bir soznen gozel programdi.,0
Hi Taxify Cox beyendim....Cox operativ👍🏻,0
support is bad The worst company,1
"Ela xidmet Cox serfeli ,rahat ve guvenli:)",0
"Feedback/ Comments Dear TaxiFy developers,

Thanks for this opportunity to use local application and test it. 

1) Good price
2) Quick response

Thanks and Best",0
"Thanks, driver Rufat! Everything is pretty good.",0
":( No one is answering when problem appears, no safety, drivers are rude!",1
"Tahir qardash yorulmuyasan! Super Surucudu, bele suruceler cox olsun))",0
🙄 С каждым обновлением цены поднимаются 😂,1
Super Super,0
love it! I especially like a route sharing option,0
Taksi azligi Qiymetler yaxsidi ancaq taksiler bezi yerlerde tapilmir. Meselen Ehmedli,0
"Like it!; Beyendim. Servisden chox raziyam. Hem qiymetler serfeli, hem de xerite chox asand ve anlawilandir hem muwteriler ucun, hem de suruculer ucun. Kuchelerin adlari duzgun yazildigindan eziyyet chekilmir tapmaq ve oldugun nogteni qeyd elemek. 
This app is easy to be used and understood. The map has been built very well. Prices are on point and drivers are polite. 
I suggest to use this app in Baku, Azerbaijan much more than any other ones. 
Thanks for this useful app :)",0
Taxify 👍🏻 Perfect,0
No option No option to book taxi for later  . Please add.,0
Dummy drivers Worst taxi experience i've ever had.,1
"Unsafe! I have got injured while getting out of the car, because the driver started the motion despite he knew that I am getting out! He never apologised, and customer service is still not responding! Air-conditioners are not working in most of cars, some drivers are smoking without even asking for a permission, most of cars do not have a proper seat belt and maps are not accurate!!! Do not recommend.",1
No Suppor Служба поддержки на 0. Я вещи забыл на такси. Звоню таксисту уже 2 дня. Предлогал таксисту денег чтоб он привозил не привозит. Написал о проблеме службе поддержки но нет ответа. Я каждый день исползовал Taxify по 3-4 раза. Но уже небуду исползовать. Не рекомендую!!!,1
Great Better than uber!!!,0
Taxify Super,0
Ужасный сервис Не смогла воспользоваться уже заблокировали программу,1
taxi yaxwi xidmetdi vaxti vaxtinda catdirir,0
"Легкая, экономная, оперативная! Всем советую Taxifly! В Баку самая лучшая программа эта по моему мнению, uber удалил так как каждый раз при заказе писала программа что 'высокий спрос', думаю что машин мало у них уже поэтому так, и стоимость поездки дороже выходила очень часто.",0
Super Super,0
Super Goog,0
"Very Bad!!! Drivers aren't qualified. Rude. Car approaching late, and wrong address. So this all very bad",1
Hi I love taxify,0
Super Lowest minimum price. Bedt available cars,0
"Taxify It is a quality! This app is new in Baku, thats why good luck for you.",0
Excellent I love Taxify,0
👎 cox pis isleyir 👎 cox pis isleyir,0
"Qimətinizə salem!!! Bu nə qiymətdir?
İlk dəfə 19 qəpik/km
Sonra 25 qəpik/km
İndidə 28 qəpik/km
Duxunuz catır 33 qəpik edin. Uberlə çatmağınıza hələ çox var. 👊",1
We Always noted that : No drivers available at the moment.,1
Taxi 👍 Alhamdulilleh,0
Yaxsidir Proqrami dahada tekminkesdirin musal ucun men evvelden hansi nokteden hansisa nokteye qeder gedeceyim qiymeti tedbiqde evvelceden gorum,0
Sjsjsjsjs Göteşsiniz sjsjsjs,0
Çooook güzelll Güzel,0
Мне нравится Отлично работает и очень удобно,0
Super Super,0
H A Very good!,0
Super Super,0
Отзыв Иногда неправильно определяет песню а так процентов 70 все находит,0
Prestige26 Super! Bomba! Thanks!!!)))),0
Amazing app! Love it so much! Using it for years and it deserves 5 stars! I would give more. Thank you for everything! I finally found many songs that I could find for years!,0
Shazammm u r just👌🏾 Perfecttt👌🏾,0
Shazam Отличное приложение!,0
Əla Əlaçı,0
Super.... 10 LL 848😘😘💪💪🤘🤘 Super.... 10 LL 848😘😘💪💪🤘🤘,0
Super Super,0
Great app !! Congrats ))),0
"Terrible .... Просто Ужасно . Раньше он нормально находил песни. Сейчас просто ужас . Неважно какую песню хочешь найти . Выдает тебе клубные ремиксы даже которые не совпадают с тем что ты ищешь . Одним словом ХРЕНЬ. Удаляю , потому что уже нет смысла оставлять программу .",1
Thank you Found music immediately,0
Fena deyil Daha da iyi yapa bilirsiniz,1
Super super super super İnternet'siz müzik'lerimde çalsaydı daha'da ötesi süper olurdu İPhone 4s'lerde,0
Bir dene dayi ola. Qaqa piwiy kimi.,0
Perfect finder Perfect finder!,0
Awful Used to be in love with this app but now after new updates I can’t find any song... so disappointing...,1
"dostum sazamnan sluxavoydu!! aaa bleeet bu ne hereketdi , app stora sazam yukluyursuz , mahni sadaliyiram amma tapmir , amma dostum tapr . A ona gore size 0 point",1
"Качество Раньше когда включал автошазам и заходил в другое приложение,чтобы найти музыку,работало все супер.Сейчас же эта функция не работает,который раз я уже не могу найти музыку!Исправьте это.",1
Best Best,0
spotify cant connect to spotify..(((,1
My favorite Super app.I love it,0
Her kes indirsin Guzel,0
Superrr 5 metrden bele eşidir tapir mahnini halaldi🤘,0
Azərbaycan musiqiləri Azərbaycan musiqilərinin çoxunu tapa bilmir:(,1
Brat Superdir brat,0
Обожаю Shazam! Обожаю Shazam!,0
Shazam Not bad,1
Nijat Nice,0
The best :) What can I do without you. Thanks for being so helpful,0
Spotify support Removed Spotify integration. They do everything to encourage people to use Apple Music,1
Shukuuu❤️ Awesome ❤️,0
Guzel 👌👌👌,0
Wonder!!! Shazam app Created  Supreme feeling me,0
ABCDE One of the best softwares as I ever seen.,0
Ivpl Nıllh,0
Super Guzel,0
"Best app This application can save our life like photo album, but better, with music! :) than, when we hear our playlist, with the helping this magical app, we can smile, cry, maybe dancing too, because we remember our life steps, fallen, dreams, stand up and move forward, we remember that we must, maan! Just do it",0
Like Very gooood,0
Shazam Love 😻🥰❤️,0
Shazam Süper,0
Ela Ela,0
Super 👍👍👍👍,0
👍 Very very very amazing!,0
Super 👌🏻,0
😍😍😍 👍🏻👍🏻,0
Not good Does not find,0
👍🏻 Çok süper 👍🏻👍🏻👍🏻👍🏻👍🏻 tavsiye ediyorum,0
Excelent İ like this app,0
"Shazam I think, what are we doing without “Shazam”",0
"ОБНОВЛЕНИЕ УЖАСНОЕ Не может распознавать уже какую песню подряд, такого не было до обновление. А оффлайн когда прослушивает вообще никогда не находит",1
Süper bir uygulama Dünyanin hakkini en iyi veren uygulamalarindan biri❤️❤️,0
AR Super,0
From Azerbaijan 🇦🇿 Super programdir 👍🏻♥️,0
Super ⭐️⭐️⭐️⭐️⭐️⭐️,0
elvinn.ss ssss,0
Just wow! It’s just awesome!👍,0
Poor It is too much searching and at the end it can not find. The almost music is about to end but however it is still listening,1
The best The most useful app.,0
👍🤙🏼🤙🏼 Good,0
Niceeee Niceeee,0
Very smart Very lovely,0
Благодарю! Спасибо вам !,0
Superrr Super teşekkürler,0
Guzel 👍👍,0
Mukemmel Cok guzel,0
nice nice,0
Shazam Superdi. Bezi minuslari var o da azərbaycan musiqilərinin çoxunu tapmır,0
Ramil Abdullazade It’s perfect indeed! Greetings and Good luck from Azerbaijan🇦🇿 !,0
Alla211 Change your style,1
Siri Siride shazam lanan şarkılar shazamın içinde kaydedilmiyor.,1
Shazam Çok işe yarar şey,0
Super Ela,0
SuppA Super,0
"Спасибки Респект вас....Спасибо большое,не разу не падвёл",0
Super Super,0
Ful Coool,0
"New update After new update i cant find any song, what’s wrong?",1
Like Like,0
LOVE это прогграма мне всегда помогает если даже без интернета он сохраняет и ты когда в ходиш в интернет он посылает что он распознал или нет,0
I cant imagine the world without SHAZAM!!! 👍🏼👍🏼👍🏼,0
🖕🏼🖕🏼🖕🏼 Thank you,0
Superdi Superdi,0
👍👍👍 Super,0
👍🏻👍🏻👍🏻 👍🏻👍🏻👍🏻,0
Para Para istiyor,1
":) 3,14здатая прога)))",0
No comment 👍🏻👍🏻👍🏻 No comment 👍🏻👍🏻👍🏻,0
Best app Great!!!,0
bestofbest 👍🏻,0
👍👍👍👍👍 Super bir proqram,0
süper uygulama istediğim müzikleri buluyorum müthiş,0
Harıka Program çok iyi,0
Супер Отличная штука. Спасибо,0
Super Mukemmel😂😍😅😀😃😁😄😆🖤,0
Shazam Эта программа знает все песни я счастлив что у меня есть такая программа,0
alik good,0
Super ☺️👍🏼👍🏼👏🏻,0
Good Really good.,0
Feedback I want to notificate that give the back automatic shazam,0
Shazam Perfect app!!! Fast and exactly!,0
Guzel Guzel beyndimmm,0
Love it! Such a great app!,0
Superrrrr Superrrr,0
Mütiw 👍,0
Hello It takes 10 seconds to launch shazam. that s why i cant find music sometimes. please make it more fast,1
Super Bu proqramı heç bir proqram əvəz edə bilməz,0
Çok güzel Çok güzel,0
superb Amazing App!!!,0
Sanan Majid Super Program,0
A Where the auto shazam in app shazam??,1
New update Recover Auto Shazam :/ others is very well 👍🏻👏,1
T Perfect,0
İlkin ⚜️⚜️,0
SO GOOOOOOOD😻😻 to the moon and baack  :),0
Shazam 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,0
👍🏼 Superrr,0
Cool Cok iti,0
Super 👍,0
Salam)) Elaçıı👍🏼👍🏼👍🏼,0
Awesome! Perfect job!,0
Unable to Download App Having issues with installing the new update on iphone 5s(ios 10.1),1
Incredible Incredible,0
Best 👍,0
👍🏻 Yaxshi proqramdi. Internet olmayanda bele mahnini axtarib internet olduqda ise adinada baxmaq olar. Supper,0
Super Muchos Grazias,0
"Best app ever seen i congratulate developers and founders of app.
Fast,intuitive and best performance.Thanks",0
Superdi Istenilen mahniya telefonu tut adini deyecey Mence Butun telefonlara Lazimdi,0
"A problem Shazam is one of my favourite apps but now it doesnt open on my iphone 
please solve the problem 
thanks<3",0
"Tez iştiyir, like Mahnını tez tapır vesselam",0
Woow Amazing,0
cox yaxwi internet olmuyanda yadda saxlamagi superdi,0
Sarl2004 Very and veryyyyyyy super,0
Cool I like it Cool I like it,0
Hh Ggg,0
Crash The new update crash in i phone5,1
Super Cool app),0
Like 5+,0
Great Great app,0
Cool Cool,0
Trio Sprrrr,0
Superr Best app I have used ever,0
Shazam I like it,0
Download it now The app is super helpful! If you are a person who likes music then this app is for you (when you want to download a song but you don't know the name you just open this app and you know the name),0
Best Best,0
👍👍 best of the best ))),0
Update Update for iOS 8!,0
Mukemmel Mukemmel Program,0
Shazam Super app,0
"Shazam😄 Супер,мне нравится!😄",0
отличьно прикрасно работает,0
Super app Cool!,0
Best Best of the best!!,0
Shazam Awesome app👍👍👍,0
"Public From this program i'am can build a party in my hause a many people sing a many music from youtube but this is not expensive 

                    COOL",0
Super! Super proqramma!,0
Best soft ever!!! Best soft ever!!!,0
Shazam Cool prog,0
super +++++,0
Shazam Just perfect...,0
None Coool app ever!,0
Shazam Thank u very much for this app👍👍👍,0
Хъсан я Хъсан я,0
I like it 👍 Love it❤️,0
Best app Seriously one of the best apps!!!,0
PTC-242 eladir,0
Super Bomba proqramdi,0
yaxwi deyil zeyif,0
This is fraud Dont use!,1
Iyi Ela,0
4 dene video yukleyenden sonra yuklediyim videolarin sesi itdi Pis deyil ama ki ses problemi var,0
Hm Bu nedi ee heçnədi,1
Çok güzel Çokk iyii,0
The best mobile banking in Azerbaijan The best,0
Əksər hallarda ödəniş gec yerinə yetirilir bəzi hallarda komunnal ve digər ödənişlər edilməsind çətinlik yaşadir,0
👍 Cox rahat bir praqramdi.,0
#PigeonsAzerbaijan #Güvercinbakü,0
Great job! Comprehensively improved app! Loved it!,0
super ishlerimin choxunu rahatliqla yoluna qoyur bu proqram 👍,0
UniBank 👍 Cox eladi rahatdi iwden evden cixmadan odenishleri rahat odemek olur,0
"Yaxshidir Sadece olaraq, kecen sefer telefona odenish eledim balansimdan cixdi lakin telefon duzelmedi. Iki defe odenish elemek mecburiyyetinde qaldim.",0
Düzəliş Balansa məbləğ əlavə olunan zaman ümumi balans ekranda görünməsin,0
Unibank Вы супер!!,0
yaxşı işləyir əla,1
Kotu Kotu,1
Unibank Super çox rahat ve deqiq,0
Super Çox eladi butun komunal odeniwleri mobil telefon odeniwleri bunla odeyirem cox rahatdi sadece her odeniwlerde her kartdan pul isdifade etdikde cashback olsa faizi yaxwi olsa LAP ELA OLAR veyaxud bonuslar verilse tez tez,0
Super Çoooxxxx raahhaattt,0
"Təşəkkür! Rahat, Sürətli və Sərfəli :) Təşəkkür Unibank!!!",0
Asiman Mireldaroğlu,0
Last Update Very useful,0
Unibank 👍👍 Bir cox bankin mobil programini iwletdim.en deqiq ve rahat istifade olunan unibankin programidir.,0
Unibank Ləzzət edir 👍😁,0
Berbad Cox qarwiq proqramdir.evvelki daha elveriwli idi.,1
"Блокировка Добрый день может я не по теме пишу но надеюсь на ваше сотрудничество вот уже больше 4-5 месяца у меню блокирован вход юни-банк-мобиль помогите активизировать и успешно проводить операции, по роду своей деятельности в городе бываю только по воскресеньям по этому поводу обратиться в филиал не могу заранее приношу свою искреннюю благодарность",0
DEBET KART Superdi,0
Unibank mobile so good l like unibank mobile so much congratulations,0
Best Bank in Baku Highly recommend,0
"mover bonus Xeberlerde deyirsiz 333 bonus,amma menim bonuslarim hissesinde 555 isteyirsiz,Insanlari dolamisiz?",0
👍👍👍 🙏🙏🙏,0
Unibank The best Mobile Bank Application in Azerbaijan!,0
Super super,0
Kocurmede PROBLEM Ela super herwey teki bele davam edin,0
Konul Super 👍,0
Ela Pullarinizi idare etmek üçün etibarlı sade ve İdeal proqramdır!,0
Lucifer Pis deyil,0
❤️❤️❤️ 😍😍😍👌👌👌,0
best good it is Very good,0
Cox yaxsı proqramdır Cox gozel proqramdır,0
Unibank 👍🏻👏🏻,0
Ela Ela ve keyfiyyetli,0
"Teshekkur Sistem cox rahat ve funksionaldir
 Suretli menu girisi. 👍",0
error pul köçürmesi etmek olmur!,1
Çox super İstifadəsi çox rahat,0
👍🏻👍🏻👍🏻 Cox guzel,0
əla 👍🏻,0
Superdi Eladi,0
Twk Salam cox sagolun hamınıza ugurlar rehberlıyınıze ve emeyı olan her kese cox sagolun 😘😘,0
Очень удобно и практично! Удобно приложение с удобным  интерфейсом и нужным функционалом. Разработчикам респект.,0
Perfect !!! Easy to use. Thanks !,0
Hesabdan çıxarış Hesabdan çıxarış bölməsində hər bir ödəniş üzrə tarixlər mövcud deyil,1
Supeeeerrr Suppppeeeeerrrrrrrr,0
Saat 12e qeder . Saat 12den sonra 196 error code almaq adet halina cevrilib artig !!!!,1
Bonus 50bonusum var ona uygun doner kimi bir hediye verin yemelik bisey gonderin)),0
Best mobile app in Azerbaijan! Easy and great to use!,0
Çox gözel Sizlere minetdariq,0
Elnur Cox iyi cox beyendim tewekkur ederim.,1
Gələcək Azərbaycan texnohesab Zamana və insan enerjisinə qənaət və ən əsas evə oğru dəvət etməmək üçün ən gözəl kassa,0
Mukemmel bir proqram tewekkurler Tewekkurler,0
"Elave Pul Tuturlar!! Unibank karti ile qeydiyyatdan kecmek olmur,diger kartla qeydiyyatdan kecirsen her defer balansa baxanda 5 qepik cixilir.!
117 mesuliyyetsizdir duzeltmedi xetani!!",1
Ayka Suppa,0
"teshhekur cox rahat, operativ, vaxt itkisiz!",0
Ödəniş Nə zamam hara pul xərclədiyimi göstərmir əvvəl görə bilirdim,0
Starrr Uniii,0
"Khalil Well done, Unibank",0
💜 Elaaaaa.... 👍,0
Mobile Unibank Super udobno,0
😎💸💵💶💴💵🇦🇿🇦🇿🇦🇿🇦🇿 🇦🇿🇦🇿🇦🇿🇦🇿🇦🇿🇦🇿🇦🇿🇦🇿,0
Vusala Super application. Easy to use.,0
Iphone Не работает функция перевода с карты на карту на телефоне iphone,0
Unibank Cox rahat,0
Unibank❤️ Unibank kimi gozel bank sistemi ola bilmez,0
F Super,0
design ужасный дизайн. очень не удобно.,1
Ela Sadece mohtesemdir!!! Hec bir qusur yoxdur bu proqramda!,0
